A1,A2,A3
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Bilinmeyen,2009,2230
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Bilinmeyen,2010,1697
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Bilinmeyen,2011,1008
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Bilinmeyen,2012,703
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Bilinmeyen,2013,391
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Bilinmeyen,2014,272
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Bilinmeyen,2015,117
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Bilinmeyen,2016,98
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Bilinmeyen,2017,75
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Bilinmeyen,2018,82
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Bilinmeyen,2019,77
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2009,1694
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2010,721
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2011,1074
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2012,436
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2013,59
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2014,5
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2015,1316
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2016,1363
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2017,1486
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2018,1506
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Lise Ve Dengi Meslek Okulu,2019,1401
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2009,2910
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2010,2813
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2011,2531
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2012,2605
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2013,2781
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2014,3368
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2015,1507
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2016,1104
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2017,751
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2018,420
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,2019,160
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2009,678
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2010,463
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2011,347
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2012,261
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2013,185
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2014,104
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2015,53
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2016,39
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2017,18
Erkeğin yaş grubu:16-19 ve Erkeğin eğitim durumu:Okuma Yazma Bilmeyen,2018,9
